PLAYER NAME,AVG_ROUND_3_SCORING_AVERAGE,TOTAL STROKES_ROUND_3_SCORING_AVERAGE,TOTAL ROUNDS_ROUND_3_SCORING_AVERAGE,YEAR,AVG_SCORING_AVERAGE_BEFORE_CUT,TOTAL STROKES_SCORING_AVERAGE_BEFORE_CUT,TOTAL ROUNDS_SCORING_AVERAGE_BEFORE_CUT,ROUNDS_PUTTING,AVERAGE_PUTTING,TOTAL SG:PUTTING_PUTTING,MEASURED ROUNDS_PUTTING,ROUNDS_OFF-THE-TEE,AVERAGE_OFF-THE-TEE,TOTAL SG:OTT_OFF-THE-TEE,MEASURED ROUNDS_OFF-THE-TEE,ROUNDS_TEE-TO-GREEN,AVERAGE_TEE-TO-GREEN,SG:OTT_TEE-TO-GREEN,SG:APR_TEE-TO-GREEN,SG:ARG_TEE-TO-GREEN,MEASURED ROUNDS_TEE-TO-GREEN,AVG_FINAL_ROUND_SCORING_AVERAGE,TOTAL STROKES_FINAL_ROUND_SCORING_AVERAGE,TOTAL ROUNDS_FINAL_ROUND_SCORING_AVERAGE,ROUNDS_AROUND-THE-GREEN,AVERAGE_AROUND-THE-GREEN,TOTAL SG:ARG_AROUND-THE-GREEN,MEASURED ROUNDS_AROUND-THE-GREEN,ROUNDS_APPROACH-THE-GREEN,AVERAGE_APPROACH-THE-GREEN,TOTAL SG:APP_APPROACH-THE-GREEN,MEASURED ROUNDS_APPROACH-THE-GREEN,TOP 10_TOP_10_FINISHES,1ST_TOP_10_FINISHES,2ND_TOP_10_FINISHES,3RD_TOP_10_FINISHES,MONEY_CAREER_MONEY_LEADERS,RANK_OFFICIAL_WORLD_GOLF_RANKING,ROWAN SCORE,ALL-AROUND_RANKING_DIFF,OFFICIAL_WORLD_GOLF_RANKING_DIFF
Steve Flesch,70.13,561,8,2004,70.09,1542,22,39.0,-0.138,-4.563,33.0,39.0,0.171,5.65,33.0,39.0,0.811,0.171,0.45,0.189,33.0,71.75,574.0,8.0,39.0,0.189,6.25,33.0,39.0,0.45,14.856,33.0,1.0,0.0,0.0,1.0,8709968.0,46.0,-27.0,76.0,-1.8199999999999932
Bernhard Langer,70.13,561,8,2004,70.06,1261,18,33.0,-0.145,-4.195,29.0,33.0,0.105,3.046,29.0,33.0,0.99,0.105,0.799,0.087,29.0,72.38,579.0,8.0,33.0,0.087,2.511,29.0,33.0,0.799,23.158,29.0,2.0,0.0,0.0,0.0,6771304.0,84.0,-15.0,131.0,0.4399999999999977
Justin Leonard,70.17,421,6,2004,69.79,977,14,26.0,0.192,4.223,22.0,26.0,-0.194,-4.27,22.0,26.0,0.543,-0.194,0.376,0.361,22.0,70.83,425.0,6.0,26.0,0.361,7.944,22.0,26.0,0.376,8.275,22.0,1.0,0.0,0.0,0.0,16493633.0,29.0,-5.0,57.0,-1.6200000000000045
K.J. Choi,70.2,351,5,2004,71.07,1066,15,25.0,-0.096,-2.019,21.0,25.0,0.064,1.343,21.0,25.0,0.816,0.064,0.727,0.025,21.0,71.2,356.0,5.0,25.0,0.025,0.534,21.0,25.0,0.727,15.264,21.0,2.0,0.0,0.0,0.0,5811893.0,26.0,-22.0,91.0,-12.060000000000002
Tiger Woods,70.2,351,5,2004,70.3,703,10,26.0,0.075,1.422,19.0,26.0,0.331,6.28,19.0,26.0,1.263,0.331,0.857,0.075,19.0,70.0,350.0,5.0,26.0,0.075,1.432,19.0,26.0,0.857,16.279,19.0,4.0,1.0,0.0,0.0,41637115.0,1.0,-15.0,46.0,-29.57000000000005
Alex Cejka,70.25,281,4,2004,71.29,998,14,24.0,0.034,0.704,21.0,24.0,0.348,7.316,21.0,24.0,0.478,0.348,0.056,0.073,21.0,72.5,290.0,4.0,24.0,0.073,1.536,21.0,24.0,0.056,1.183,21.0,0.0,0.0,0.0,0.0,1675064.0,52.0,-11.0,22.0,1.5899999999999892
Stewart Cink,70.25,562,8,2004,69.61,1253,18,35.0,0.526,15.267,29.0,35.0,-0.068,-1.981,29.0,35.0,0.95,-0.068,0.735,0.284,29.0,70.5,564.0,8.0,35.0,0.284,8.223,29.0,35.0,0.735,21.319,29.0,2.0,0.0,0.0,0.0,10243870.0,45.0,-14.0,82.0,7.470000000000013
Tim Clark,70.33,211,3,2004,71.42,857,12,18.0,0.384,6.527,17.0,18.0,0.123,2.093,17.0,18.0,0.07,0.123,0.18,-0.233,17.0,69.0,207.0,3.0,18.0,-0.233,-3.954,17.0,18.0,0.18,3.056,17.0,2.0,0.0,0.0,0.0,2111649.0,70.0,0.0,46.0,-2.75
Sergio Garcia,70.4,352,5,2004,69.2,692,10,21.0,-0.424,-8.061,19.0,21.0,0.572,10.867,19.0,21.0,1.617,0.572,1.193,-0.148,19.0,73.4,367.0,5.0,21.0,-0.148,-2.805,19.0,21.0,1.193,22.668,19.0,1.0,0.0,0.0,0.0,8101313.0,48.0,-29.0,-13.0,-2.6899999999999977
Scott Verplank,70.4,352,5,2004,68.67,824,12,22.0,0.823,14.81,18.0,22.0,0.231,4.166,18.0,22.0,1.634,0.231,1.155,0.248,18.0,68.0,340.0,5.0,22.0,0.248,4.456,18.0,22.0,1.155,20.783,18.0,3.0,0.0,1.0,1.0,12419509.0,16.0,-7.0,-8.0,19.07000000000002
Chris DiMarco,70.5,423,6,2004,70.69,1131,16,29.0,0.1,2.292,23.0,29.0,0.179,4.116,23.0,29.0,0.852,0.179,0.339,0.334,23.0,70.0,350.0,5.0,29.0,0.334,7.69,23.0,29.0,0.339,7.796,23.0,2.0,0.0,1.0,0.0,11514070.0,21.0,-20.0,44.0,-2.420000000000016
Shaun Micheel,70.67,424,6,2004,70.36,985,14,28.0,0.349,8.736,25.0,28.0,0.283,7.083,25.0,28.0,0.711,0.283,0.013,0.415,25.0,70.67,424.0,6.0,28.0,0.415,10.37,25.0,28.0,0.013,0.32,25.0,1.0,0.0,0.0,0.0,3882955.0,36.0,-13.0,-77.0,10.460000000000008
Briny Baird,70.78,637,9,2004,69.75,1395,20,37.0,0.228,7.308,32.0,37.0,0.12,3.85,32.0,37.0,0.704,0.12,0.498,0.086,32.0,71.38,571.0,8.0,37.0,0.086,2.754,32.0,37.0,0.498,15.926,32.0,2.0,0.0,0.0,0.0,4471587.0,53.0,0.0,33.0,1.759999999999991
Mark O'Meara,70.8,354,5,2004,70.53,1199,17,24.0,0.337,6.065,18.0,24.0,-0.16,-2.874,18.0,24.0,-0.539,-0.16,-0.431,0.051,18.0,70.5,282.0,4.0,24.0,0.051,0.92,18.0,24.0,-0.431,-7.75,18.0,0.0,0.0,0.0,0.0,13266629.0,81.0,-9.0,89.0,1.0500000000000114
Kirk Triplett,70.8,354,5,2004,68.88,1171,17,25.0,-0.378,-7.552,20.0,25.0,0.079,1.58,20.0,25.0,1.078,0.079,0.698,0.301,20.0,71.6,358.0,5.0,25.0,0.301,6.018,20.0,25.0,0.698,13.954,20.0,3.0,0.0,0.0,0.0,10887599.0,41.0,-15.0,12.0,-3.6799999999999926
Freddie Jacobson,70.83,425,6,2004,69.81,1117,16,30.0,0.491,11.295,23.0,30.0,-0.461,-10.594,23.0,30.0,-0.262,-0.461,0.015,0.184,23.0,71.0,426.0,6.0,30.0,0.184,4.226,23.0,30.0,0.015,0.334,23.0,3.0,0.0,0.0,0.0,1348139.0,19.0,-20.0,88.0,0.4000000000000057
Rich Beem,71.0,213,3,2004,72.06,1153,16,21.0,-0.529,-8.456,16.0,21.0,0.04,0.634,16.0,21.0,0.075,0.04,0.125,-0.089,16.0,72.0,144.0,2.0,21.0,-0.089,-1.429,16.0,21.0,0.125,1.998,16.0,0.0,0.0,0.0,0.0,5342340.0,69.0,0.0,30.0,-3.7700000000000102
John Daly,71.14,498,7,2004,68.81,1101,16,29.0,0.189,4.732,25.0,29.0,0.202,5.042,25.0,29.0,0.417,0.202,-0.19,0.406,25.0,72.43,507.0,7.0,29.0,0.406,10.138,25.0,29.0,-0.19,-4.753,25.0,3.0,1.0,0.0,0.0,5777394.0,54.0,-2.0,20.0,9.009999999999991
Tim Herron,71.17,427,6,2004,71.11,1351,19,28.0,0.055,1.218,22.0,28.0,0.207,4.559,22.0,28.0,0.31,0.207,-0.016,0.119,22.0,69.75,279.0,4.0,28.0,0.119,2.618,22.0,28.0,-0.016,-0.355,22.0,0.0,0.0,0.0,0.0,8146555.0,58.0,0.0,88.0,-2.8700000000000045
J.L. Lewis,71.17,427,6,2004,70.89,1347,19,28.0,-0.477,-10.963,23.0,28.0,0.199,4.587,23.0,28.0,0.475,0.199,0.291,-0.015,23.0,71.8,359.0,5.0,28.0,-0.015,-0.355,23.0,28.0,0.291,6.694,23.0,1.0,0.0,0.0,0.0,5408874.0,80.0,0.0,-88.0,-2.4399999999999977
Phillip Price,71.67,215,3,2004,71.44,643,9,15.0,-1.343,-16.111,12.0,15.0,-0.017,-0.208,12.0,15.0,0.67,-0.017,0.759,-0.071,12.0,74.0,222.0,3.0,15.0,-0.071,-0.851,12.0,15.0,0.759,9.104,12.0,0.0,0.0,0.0,0.0,0.0,62.0,-6.0,246.41144200626957,-7.0
Jerry Kelly,71.71,502,7,2004,69.06,1174,17,33.0,-0.13,-3.12,24.0,33.0,0.04,0.962,24.0,33.0,1.419,0.04,0.674,0.704,24.0,69.71,488.0,7.0,33.0,0.704,16.904,24.0,33.0,0.674,16.181,24.0,4.0,0.0,0.0,0.0,9783056.0,27.0,-5.0,-73.0,15.430000000000007
Bob Tway,71.8,359,5,2004,71.5,1001,14,25.0,0.489,11.246,23.0,25.0,-0.477,-10.98,23.0,25.0,-0.053,-0.477,0.408,0.016,23.0,71.8,359.0,5.0,25.0,0.016,0.378,23.0,25.0,0.408,9.382,23.0,1.0,0.0,0.0,0.0,12475683.0,35.0,-7.0,42.0,-10.330000000000013
Charles Howell III,71.88,575,8,2004,71.05,1492,21,35.0,0.004,0.11,28.0,35.0,-0.059,-1.645,28.0,35.0,0.321,-0.059,0.053,0.327,28.0,71.0,497.0,7.0,35.0,0.327,9.155,28.0,35.0,0.053,1.482,28.0,0.0,0.0,0.0,0.0,7298089.0,32.0,-16.0,54.0,-2.460000000000008
Darren Clarke,72.0,216,3,2004,71.08,853,12,24.0,0.05,0.854,17.0,24.0,0.609,10.357,17.0,24.0,-0.016,0.609,-0.295,-0.33,17.0,70.33,211.0,3.0,24.0,-0.33,-5.608,17.0,24.0,-0.295,-5.021,17.0,3.0,0.0,0.0,2.0,3761868.0,14.0,-2.0,-166.0,3.910000000000025
Stephen Leaney,72.0,216,3,2004,71.14,996,14,25.0,-0.751,-11.262,15.0,25.0,-0.28,-4.206,15.0,25.0,-0.244,-0.28,0.401,-0.364,15.0,72.0,216.0,3.0,25.0,-0.364,-5.462,15.0,25.0,0.401,6.015,15.0,1.0,0.0,0.0,0.0,1269203.0,31.0,-19.0,341.0,-3.490000000000009
Jeff Sluman,72.0,432,6,2004,69.31,1109,16,28.0,-0.22,-5.283,24.0,28.0,-0.062,-1.48,24.0,28.0,0.952,-0.062,0.987,0.026,24.0,71.5,429.0,6.0,28.0,0.026,0.631,24.0,28.0,0.987,23.682,24.0,0.0,0.0,0.0,0.0,14765769.0,61.0,-9.0,-23.0,2.6400000000000006
Shigeki Maruyama,72.25,578,8,2004,68.81,1101,16,33.0,0.757,23.458,31.0,33.0,-0.195,-6.047,31.0,33.0,0.555,-0.195,0.653,0.097,31.0,70.38,563.0,8.0,33.0,0.097,3.009,31.0,33.0,0.653,20.238,31.0,3.0,0.0,1.0,0.0,7987351.0,20.0,-2.0,21.0,8.069999999999993
Todd Hamilton,72.5,435,6,2004,70.53,1199,17,28.0,0.133,3.316,25.0,28.0,-0.251,-6.27,25.0,28.0,-0.013,-0.251,0.546,-0.308,25.0,72.5,435.0,6.0,28.0,-0.308,-7.697,25.0,28.0,0.546,13.653,25.0,1.0,1.0,0.0,0.0,1111931.0,40.0,-7.0,123.0,-1.5200000000000102
John Rollins,72.5,145,2,2004,73.93,1109,15,18.0,-1.206,-16.883,14.0,18.0,0.368,5.158,14.0,18.0,-0.429,0.368,-0.572,-0.226,14.0,74.0,74.0,1.0,18.0,-0.226,-3.159,14.0,18.0,-0.572,-8.004,14.0,0.0,0.0,0.0,0.0,3784421.0,83.0,0.0,79.0,-7.859999999999999
Fred Couples,72.6,363,5,2004,71.13,1067,15,26.0,-0.268,-5.889,22.0,26.0,0.441,9.693,22.0,26.0,0.382,0.441,-0.146,0.087,22.0,72.6,363.0,5.0,26.0,0.087,1.916,22.0,26.0,-0.146,-3.208,22.0,0.0,0.0,0.0,0.0,15459341.0,38.0,-19.0,-38.0,-0.6299999999999955
José María Olazábal,72.6,363,5,2004,72.13,1154,16,24.0,0.088,1.847,21.0,24.0,-1.253,-26.321,21.0,24.0,-0.381,-1.253,0.233,0.639,21.0,72.75,291.0,4.0,24.0,0.639,13.419,21.0,24.0,0.233,4.894,21.0,0.0,0.0,0.0,0.0,6651414.0,135.0,-12.0,-46.0,-0.8299999999999983
Fred Funk,72.67,436,6,2004,70.63,1130,16,27.0,-0.237,-5.456,23.0,27.0,0.234,5.392,23.0,27.0,0.536,0.234,0.183,0.118,23.0,70.0,350.0,5.0,27.0,0.118,2.719,23.0,27.0,0.183,4.206,23.0,1.0,0.0,0.0,0.0,13275156.0,44.0,-4.0,-169.0,4.539999999999992
Thomas Bjørn,72.75,291,4,2004,71.8,718,10,20.0,-0.342,-5.808,17.0,20.0,0.074,1.259,17.0,20.0,0.845,0.074,0.245,0.525,17.0,71.0,284.0,4.0,20.0,0.525,8.931,17.0,20.0,0.245,4.166,17.0,1.0,0.0,0.0,0.0,2350660.0,24.0,0.0,-10.588557993730433,2.130000000000024
Tim Petrovic,72.75,582,8,2004,70.39,1619,23,37.0,0.356,11.021,31.0,37.0,0.069,2.127,31.0,37.0,-0.015,0.069,-0.299,0.215,31.0,71.75,574.0,8.0,37.0,0.215,6.652,31.0,37.0,-0.299,-9.258,31.0,0.0,0.0,0.0,0.0,2833397.0,88.0,-5.0,51.0,1.4300000000000068
Ben Curtis,73.5,147,2,2004,72.33,868,12,18.0,-0.372,-5.958,16.0,18.0,0.125,2.006,16.0,18.0,0.206,0.125,0.112,-0.031,16.0,73.0,146.0,2.0,18.0,-0.031,-0.5,16.0,18.0,0.112,1.788,16.0,0.0,0.0,0.0,0.0,1600931.0,39.0,0.0,27.0,0.769999999999996
Brad Faxon,73.75,295,4,2004,71.38,928,13,20.0,0.42,6.716,16.0,20.0,-0.676,-10.815,16.0,20.0,-0.1,-0.676,0.339,0.238,16.0,69.33,208.0,3.0,20.0,0.238,3.803,16.0,20.0,0.339,5.418,16.0,1.0,0.0,0.0,0.0,14564454.0,30.0,-9.0,-63.0,-1.3100000000000023
Ian Poulter,64.0,64,1,2005,72.0,1080,15,22.0,-0.371,-4.817,13.0,22.0,0.162,2.11,13.0,22.0,-0.856,0.162,-0.564,-0.454,13.0,73.5,147.0,2.0,22.0,-0.454,-5.903,13.0,22.0,-0.564,-7.326,13.0,2.0,0.0,0.0,0.0,815971.0,41.0,-5.0,143.0,-3.5900000000000034
Ben Curtis,66.0,66,1,2005,73.44,1175,16,17.0,-0.572,-7.433,13.0,17.0,-0.476,-6.189,13.0,17.0,-1.47,-0.476,-0.541,-0.453,13.0,74.5,149.0,2.0,17.0,-0.453,-5.882,13.0,17.0,-0.541,-7.039,13.0,0.0,0.0,0.0,0.0,1950913.0,153.0,0.0,59.0,-2.559999999999995
Chris DiMarco,67.0,134,2,2005,71.17,854,12,21.0,-0.235,-2.82,12.0,21.0,-0.223,-2.676,12.0,21.0,-0.569,-0.223,0.531,-0.877,12.0,72.67,218.0,3.0,21.0,-0.877,-10.523,12.0,21.0,0.531,6.371,12.0,1.0,0.0,1.0,0.0,14394655.0,15.0,-36.0,43.0,-6.810000000000002
Luke Donald,67.5,270,4,2005,69.54,904,13,23.0,0.718,12.208,17.0,23.0,0.183,3.11,17.0,23.0,1.624,0.183,0.861,0.581,17.0,72.0,360.0,5.0,23.0,0.581,9.871,17.0,23.0,0.861,14.637,17.0,3.0,0.0,2.0,0.0,4880767.0,16.0,-30.0,-148.0,28.439999999999998
Tim Clark,67.75,271,4,2005,68.73,1031,15,22.0,0.069,1.097,16.0,22.0,0.241,3.853,16.0,22.0,1.015,0.241,0.601,0.174,16.0,70.6,353.0,5.0,22.0,0.174,2.778,16.0,22.0,0.601,9.608,16.0,2.0,0.0,1.0,0.0,3840926.0,27.0,-5.0,17.0,-4.210000000000008
Chris Riley,68.33,205,3,2005,71.05,1350,19,24.0,-0.327,-5.56,17.0,24.0,0.28,4.765,17.0,24.0,0.206,0.28,-0.151,0.076,17.0,71.25,285.0,4.0,24.0,0.076,1.298,17.0,24.0,-0.151,-2.563,17.0,0.0,0.0,0.0,0.0,7894249.0,58.0,-6.0,125.0,-1.3900000000000006
Rod Pampling,68.5,137,2,2005,71.7,717,10,15.0,0.022,0.301,14.0,15.0,0.197,2.752,14.0,15.0,0.232,0.197,0.331,-0.295,14.0,74.33,223.0,3.0,15.0,-0.295,-4.131,14.0,15.0,0.331,4.63,14.0,0.0,0.0,0.0,0.0,3801098.0,56.0,-21.0,51.41144200626957,1.960000000000008
José María Olazábal,68.6,343,5,2005,68.85,895,13,21.0,0.421,8.004,19.0,21.0,0.109,2.072,19.0,21.0,1.067,0.109,0.446,0.512,19.0,72.0,432.0,6.0,21.0,0.512,9.727,19.0,21.0,0.446,8.48,19.0,3.0,0.0,1.0,0.0,7764227.0,74.0,0.0,-131.0,14.159999999999997
Jeff Maggert,68.75,275,4,2005,70.29,984,14,22.0,0.295,5.308,18.0,22.0,0.128,2.299,18.0,22.0,0.479,0.128,0.471,-0.12,18.0,73.2,366.0,5.0,22.0,-0.12,-2.156,18.0,22.0,0.471,8.474,18.0,0.0,0.0,0.0,0.0,12522791.0,59.0,-17.0,83.0,-1.019999999999996
Kenny Perry,68.75,275,4,2005,70.69,1131,16,24.0,-0.065,-1.237,19.0,24.0,1.001,19.017,19.0,24.0,1.85,1.001,0.839,0.01,19.0,69.25,277.0,4.0,24.0,0.01,0.185,19.0,24.0,0.839,15.944,19.0,2.0,1.0,0.0,0.0,17118708.0,14.0,-16.0,-53.0,62.22999999999999
K.J. Choi,68.8,344,5,2005,70.2,1053,15,25.0,0.533,11.183,21.0,25.0,0.631,13.248,21.0,25.0,0.507,0.631,-0.305,0.181,21.0,72.67,436.0,6.0,25.0,0.181,3.806,21.0,25.0,-0.305,-6.398,21.0,1.0,0.0,0.0,0.0,7762468.0,29.0,-5.0,-82.0,-4.009999999999991
Jim Furyk,68.8,344,5,2005,69.41,1180,17,26.0,-0.201,-4.016,20.0,26.0,0.4,8.006,20.0,26.0,0.93,0.4,0.437,0.093,20.0,70.0,420.0,6.0,26.0,0.093,1.861,20.0,26.0,0.437,8.734,20.0,3.0,0.0,0.0,0.0,20275098.0,32.0,-15.0,-47.0,-8.200000000000003
Charles Howell III,68.8,344,5,2005,70.27,1054,15,25.0,0.571,11.994,21.0,25.0,0.542,11.39,21.0,25.0,1.367,0.542,0.435,0.39,21.0,70.5,423.0,6.0,25.0,0.39,8.19,21.0,25.0,0.435,9.125,21.0,3.0,0.0,1.0,1.0,9685180.0,37.0,0.0,34.0,1.9199999999999875
Joe Ogilvie,68.86,482,7,2005,69.43,1458,21,33.0,0.716,20.04,28.0,33.0,0.043,1.214,28.0,33.0,0.176,0.043,-0.154,0.287,28.0,72.29,506.0,7.0,33.0,0.287,8.041,28.0,33.0,-0.154,-4.314,28.0,4.0,0.0,2.0,0.0,3865189.0,57.0,-13.0,25.0,9.539999999999992
